【平均値】楽観（奇数行）,【平均値】悲観（偶数行）,研究ID番号,myBeat(デバイス),E4（リストバンド）,性別,年齢,【総得点】楽観（奇数行）,【総得点】悲観（偶数行）,自分の将来は，良いことが起こると思う,私の将来は，暗いと思う,将来，幸せになれると思う,望ましくない，未来の自分の姿ばかりを想像する,私は将来に対して，前向きに考えている,何もかもが悪い方向にしか進まないだろうと思う,自分の将来は，恵まれていると思う,私の望みは叶わないと思う,自分の将来に期待がもてる,自分の将来に絶望している,これからの人生は良いものになるだろうと思う,何かを計画する時，失敗している自分の姿が頭に浮かぶ,結果が予想できない時は，良い方向に期待する,何をしても，うまくいかないことばかりを想像する,私には，悪いことよりも良いことが起こると思う,結局，自分の目標は達成できないだろう,何かに取りかかる時は，成功するだろうと考える,今後のことを考えると，悪いことばかりが頭に浮かぶ,自分の将来を楽しみにしている,何かに取りかかる時は，失敗するだろうと考える
2.8,2,1,10011831,S/N:A04D33,1:男性,32,28,20,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
3.1,1.9,2,10011832,S/N:A035D5,1:男性,34,31,19,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない
2.4,2.4,3,10011833,S/N:A04CC7,2:女性,32,24,24,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない
3.1,1.6,4,10011834,S/N:A04B9F,1:男性,49,31,16,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない
2.3,2.3,5,10011835,S/N:A039B2,2:女性,37,23,23,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,1:全く当てはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
3,2.1,6,10011836,S/N:A03F52,2:女性,48,30,21,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない
3,2,7,10011837,S/N:A034BE,1:男性,53,30,20,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
3.1,1.5,8,10011838,S/N:A03FB9,1:男性,47,31,15,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
3,2.2,10,10011840,S/N:A04AEC,2:女性,34,30,22,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない
2.8,2,11,10011841,S/N:A04BDF,2:女性,49,28,20,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない
3.1,2.2,12,10011842,S/N:A041CA,2:女性,38,31,22,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない
2.9,1.7,13,10011843,S/N:A04D25,2:女性,48,29,17,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない
3.1,1.7,14,10011844,S/N:A04D40,1:男性,48,31,17,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない
3.1,2,16,10011846,S/N:A04D7B,2:女性,25,31,20,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない
1.1,3.1,17,10011847,S/N:A04DA0,1:男性,46,11,31,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,1:全く当てはまらない,1:全く当てはまらない,1:全く当てはまらない,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,1:全く当てはまらない
2.2,2.3,18,10011848,S/N:A04B87,1:男性,50,22,23,2:あてはまらない,2:あてはまらない,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,2:あてはまらない
2.7,1.8,19,10011849,S/N:A039B1,1:男性,50,27,18,2:あてはまらない,3:あてはまる,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない
2.2,2.9,20,10011850,S/N:A04C57,1:男性,52,22,29,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる
1.7,2.7,21,10011852,S/N:A04D06,2:女性,53,17,27,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,1:全く当てはまらない,3:あてはまる,3:あてはまる,3:あてはまる,1:全く当てはまらない,2:あてはまらない
2.9,2.9,22,10011853,S/N:A041D3,1:男性,46,29,29,2:あてはまらない,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる
3,2.3,23,10011854,S/N:A04ADC,1:男性,32,30,23,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
3,1.2,24,10011855,S/N:A04D34,1:男性,34,30,12,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,2:あてはまらない,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない
1.4,4,25,10011856,S/N:A04BA9,2:女性,43,14,40,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる
2.9,2,26,10011857,S/N:A04C43,2:女性,44,29,20,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
2,3.1,27,10011858,S/N:A03FB1,1:男性,27,20,31,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,3:あてはまる,4:よくあてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,2:あてはまらない,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる
3.4,1.5,28,10011859,S/N:A04D63,1:男性,44,34,15,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない
3.1,1.6,29,10011860,S/N:A04D8C,2:女性,31,31,16,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,3:あてはまる,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,1:全く当てはまらない,2:あてはまらない,2:あてはまらない
2,3,30,10011861,S/N:A04C90,1:男性,27,20,30,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる
3.5,1.1,31,10011862,S/N:A04BF4,2:女性,41,35,11,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない
3,2.7,32,10011863,S/N:A04CFE,2:女性,51,30,27,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる,3:あてはまる
2.9,2.2,33,10011864,S/N:A04CF5,1:男性,31,29,22,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
3.3,1.8,34,10011865,S/N:A04AD1,2:女性,38,33,18,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない
3.2,1.7,35,10011866,S/N:A04C38,2:女性,47,32,17,4:よくあてはまる,4:よくあてはまる,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
2.8,2.1,36,10011867,S/N:A04D44,2:女性,51,28,21,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
3,1.9,37,10011868,S/N:A04DAB,1:男性,40,30,19,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
3.1,1.5,38,10011869,S/N:A04BD9,2:女性,48,31,15,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない
