subject_id,time_continuous,valence,arousal,gender,age,mean_optimism,mean_pessimism
term151,0.22708333333333333,0,0,1,50,2,4
term129,0.26875,0,0,1,40,2,3
term18,0.3055555555555555,4,-1,2,60,2,3
term135,0.3111111111111111,2,-2,2,50,2,3
term141,0.31527777777777777,-1,-2,1,40,3,3
term128,0.31875000000000003,-1,-1,1,30,2,3
term139,0.33194444444444443,0,-2,2,40,1,3
term136,0.33819444444444446,4,1,1,50,3,3
term144,0.34791666666666665,2,-2,2,50,3,2
term17,0.3590277777777778,0,-1,2,40,2,3
term19,0.3597222222222222,1,1,1,50,2,3
term139,0.3611111111111111,-3,2,2,40,1,3
term17,0.3652777777777778,-1,1,2,40,2,3
term129,0.3659722222222222,0,-1,1,40,2,3
term136,0.3673611111111111,3,1,1,50,3,3
term124,0.36874999999999997,1,-1,2,40,2,3
term154,0.36874999999999997,-2,-3,1,30,3,2
term142,0.37152777777777773,2,0,2,40,2,3
term121,0.37222222222222223,0,3,2,40,2,3
term121,0.37222222222222223,2,3,2,40,2,3
term17,0.3729166666666666,-2,1,2,40,2,3
term134,0.3736111111111111,2,-2,1,50,3,2
term130,0.3743055555555555,3,2,1,30,1,4
term13,0.3743055555555555,-1,-1,2,20,2,3
term142,0.375,0,0,2,40,2,3
term115,0.375,2,-2,1,50,3,2
term17,0.375,0,-1,2,40,2,3
term142,0.375,-2,0,2,40,2,3
term140,0.375,3,2,2,40,2,3
term134,0.3756944444444445,2,0,1,50,3,2
term146,0.3756944444444445,-4,2,2,50,3,2
term142,0.3756944444444445,-3,0,2,40,2,3
term151,0.3763888888888889,4,4,1,50,2,4
term120,0.3763888888888889,-1,2,1,50,3,2
term11,0.3763888888888889,2,-2,2,40,1,4
term114,0.3763888888888889,-2,-1,2,30,3,3
term143,0.3770833333333334,4,-3,1,40,4,2
term123,0.3770833333333334,-1,1,2,30,4,1
term13,0.3770833333333334,-1,1,2,20,2,3
term137,0.37777777777777777,-1,1,2,40,3,2
term119,0.37777777777777777,3,-4,1,30,2,3
term157,0.37777777777777777,-1,1,2,30,1,4
term133,0.37777777777777777,3,0,1,40,2,4
term155,0.37916666666666665,1,0,1,50,2,2
term111,0.37916666666666665,1,-2,2,40,3,2
term129,0.37916666666666665,0,0,1,40,2,3
term146,0.37916666666666665,2,-2,2,50,3,2
term128,0.37916666666666665,-1,-1,1,30,2,3
term149,0.37916666666666665,3,-3,1,50,3,2
term19,0.37986111111111115,1,1,1,50,2,3
term152,0.37986111111111115,3,-2,1,50,2,3
term142,0.38055555555555554,-2,0,2,40,2,3
term130,0.38125000000000003,-1,-1,1,30,1,4
term156,0.3819444444444444,2,-1,2,50,2,2
term142,0.3819444444444444,-3,0,2,40,2,3
term144,0.3819444444444444,3,-1,2,50,3,2
term131,0.3826388888888889,2,-2,2,30,1,4
term145,0.3826388888888889,2,-2,1,50,3,2
term13,0.3833333333333333,-2,2,2,20,2,3
term146,0.3840277777777778,-3,2,2,50,3,2
term13,0.3840277777777778,0,0,2,20,2,3
term142,0.3847222222222222,2,1,2,40,2,3
term12,0.3875,0,-2,1,40,3,2
term146,0.3875,2,-2,2,50,3,2
term140,0.3875,4,4,2,40,2,3
term119,0.3888888888888889,0,-2,1,30,2,3
term141,0.38958333333333334,-2,-3,1,40,3,3
term125,0.38958333333333334,0,0,1,40,2,3
term17,0.3902777777777778,0,-1,2,40,2,3
term142,0.3909722222222222,0,-1,2,40,2,3
term127,0.3909722222222222,0,0,2,30,2,3
term110,0.3923611111111111,4,-3,2,60,2,3
term16,0.3923611111111111,-3,2,2,30,2,2
term155,0.39305555555555555,1,1,1,50,2,2
term123,0.3972222222222222,2,-3,2,30,4,1
term130,0.3979166666666667,3,3,1,30,1,4
term146,0.3986111111111111,-3,3,2,50,3,2
term157,0.39999999999999997,2,2,2,30,1,4
term136,0.40069444444444446,1,1,1,50,3,3
term148,0.4041666666666666,2,-1,1,50,2,3
term18,0.4041666666666666,3,-1,2,60,2,3
term142,0.40625,0,-1,2,40,2,3
term124,0.4069444444444445,1,-1,2,40,2,3
term121,0.4076388888888889,1,3,2,40,2,3
term17,0.40902777777777777,-1,0,2,40,2,3
term118,0.40972222222222227,2,-2,1,30,2,3
term135,0.41041666666666665,2,-2,2,50,2,3
term135,0.41111111111111115,2,-2,2,50,2,3
term143,0.41180555555555554,-2,-2,1,40,4,2
term129,0.4131944444444444,1,0,1,40,2,3
term134,0.4145833333333333,4,0,1,50,3,2
term122,0.4152777777777778,2,2,2,30,2,3
term149,0.4159722222222222,4,-4,1,50,3,2
term142,0.4173611111111111,0,0,2,40,2,3
term121,0.41875,4,1,2,40,2,3
term123,0.41944444444444445,2,-2,2,30,4,1
term129,0.42083333333333334,0,-4,1,40,2,3
term143,0.4222222222222222,2,2,1,40,4,2
term146,0.42291666666666666,3,-3,2,50,3,2
term141,0.4236111111111111,-1,2,1,40,3,3
term142,0.42430555555555555,-1,0,2,40,2,3
term13,0.425,-1,2,2,20,2,3
term12,0.4291666666666667,-2,2,1,40,3,2
term13,0.4291666666666667,0,0,2,20,2,3
term142,0.4298611111111111,-2,2,2,40,2,3
term146,0.4305555555555556,3,3,2,50,3,2
term145,0.43124999999999997,2,1,1,50,3,2
term116,0.43194444444444446,2,-2,2,50,2,3
term19,0.43194444444444446,1,-1,1,50,2,3
term125,0.43333333333333335,3,2,1,40,2,3
term148,0.43402777777777773,1,1,1,50,2,3
term146,0.43402777777777773,4,3,2,50,3,2
term142,0.43402777777777773,-2,0,2,40,2,3
term154,0.4354166666666666,-4,-4,1,30,3,2
term123,0.4354166666666666,1,0,2,30,4,1
term119,0.4368055555555555,0,-1,1,30,2,3
term146,0.4375,4,3,2,50,3,2
term125,0.4375,-4,2,1,40,2,3
term142,0.4381944444444445,-2,1,2,40,2,3
term142,0.4388888888888889,-3,2,2,40,2,3
term18,0.4395833333333334,3,1,2,60,2,3
term155,0.4395833333333334,0,-1,1,50,2,2
term142,0.44027777777777777,-2,0,2,40,2,3
term157,0.44166666666666665,2,-1,2,30,1,4
term136,0.44375000000000003,4,2,1,50,3,3
term14,0.4444444444444444,1,2,1,30,2,3
term14,0.4444444444444444,2,2,1,30,2,3
term132,0.4444444444444444,3,2,1,30,2,3
term142,0.4451388888888889,-2,0,2,40,2,3
term119,0.4479166666666667,-2,3,1,30,2,3
term122,0.4513888888888889,-1,-3,2,30,2,3
term130,0.45208333333333334,4,-2,1,30,1,4
term17,0.45208333333333334,-1,-1,2,40,2,3
term113,0.45555555555555555,3,-3,1,30,3,2
term123,0.45625,4,0,2,30,4,1
term151,0.45625,4,-2,1,50,2,4
term142,0.45694444444444443,-2,0,2,40,2,3
term133,0.4576388888888889,2,3,1,40,2,4
term111,0.4590277777777778,3,-2,2,40,3,2
term129,0.4590277777777778,1,1,1,40,2,3
term133,0.4618055555555556,0,3,1,40,2,4
term115,0.4618055555555556,3,-3,1,50,3,2
term134,0.46249999999999997,4,-4,1,50,3,2
term154,0.46319444444444446,-4,4,1,30,3,2
term143,0.46388888888888885,-1,-1,1,40,4,2
term141,0.46458333333333335,1,2,1,40,3,3
