analysis_label,data_kind,act_kind,data_count,valid_data_count,invalid_data_count,data_availability_rate,unique_subjects,date_range_start,date_range_end,sample_count,maximum,minimum,range,mean,median,variance,std,autocorr_lag1,autocorr_lag5,autocorr_lag10,trend_slope,trend_r_squared,trend_p_value
act_accx | NoCondition,act,accx,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.984375,-2.0,3.984375,-0.20590603804632288,-0.328125,0.31360009044259,0.5600000807523067,0.9318464478852548,0.8432059922649279,0.8111945678601775,-5.70015190437267e-07,0.09597232652431364,0.010870359200196768
act_accx | Sessions(0-100),act,accx,500,424,76,84.8,6,'2022-10-10 07:58:52','2023-03-22 21:17:37',11787895,1.984375,-2.0,3.984375,-0.3348870188973519,-0.5,0.3227292688844415,0.5680926587137362,0.9252705125853449,0.8132651251886144,0.7734439681154602,-1.9675085514776393e-06,0.0911140451461764,0.021294582773281594
act_accx | Sessions(100-200),act,accx,500,352,148,70.39999999999999,5,'2022-10-10 07:28:31','2022-11-25 13:53:25',9750622,1.984375,-2.0,3.984375,-0.49327208145029106,-0.5625,0.17754541407573352,0.4213613818039493,0.9446523876887866,0.8504246328766705,0.809328837075808,-1.982103326557534e-06,0.10529461741219827,0.020807597974989184
act_accx | Sessions(200-300),act,accx,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.984375,-2.0,3.984375,-0.20590603804632288,-0.328125,0.31360009044259,0.5600000807523067,0.9318464478852548,0.8432059922649279,0.8111945678601775,-5.70015190437267e-07,0.09597232652431364,0.010870359200196768
act_accx | Sessions(300-400),act,accx,500,446,54,89.2,4,'2022-10-10 06:27:14','2022-10-26 19:52:19',12461922,1.984375,-2.0,3.984375,-0.5351908159210914,-0.5625,0.12404338568174304,0.35219793537404936,0.9375189173642705,0.8138479081448471,0.7533601022350025,-3.6006882387532595e-07,0.06914015974792803,0.014918897705676346
act_accx | Sessions(400-500),act,accx,500,471,29,94.19999999999999,3,'2022-10-10 08:07:37','2022-10-26 19:02:14',13293548,1.984375,-2.0,3.984375,-0.5933468062852746,-0.71875,0.17411894380448906,0.417275620908398,0.9245282465016897,0.8171748930958002,0.7811509755375906,-1.7568671286133415e-06,0.10202657252146255,0.015419964915001928
act_accx | Sessions(500-600),act,accx,500,451,49,90.2,2,'2022-10-10 09:03:23','2022-10-26 19:52:00',12605912,1.984375,-2.0,3.984375,-0.603710089807465,-0.65625,0.09953648252734203,0.3154940293053769,0.8779876788507929,0.7283602230538031,0.6669288194734851,9.612629819926823e-08,0.06929409788719637,0.021725419152320367
act_accy | NoCondition,act,accy,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.984375,-2.0,3.984375,0.030109391208283005,0.0,0.3211785038414041,0.5667261277207926,0.9761779875362105,0.9315080144364799,0.9089884117644758,7.636525301927767e-07,0.12773292413096907,0.01057736517755245
act_accy | Sessions(0-100),act,accy,500,424,76,84.8,6,'2022-10-10 07:58:52','2023-03-22 21:17:37',11787895,1.984375,-2.0,3.984375,-0.04381454582221847,-0.078125,0.30526977939759137,0.5525122436630625,0.9726819523410453,0.9230635201086548,0.9011008721797361,-4.7697028986610255e-08,0.12393299490078923,0.009633179207712608
act_accy | Sessions(100-200),act,accy,500,352,148,70.39999999999999,5,'2022-10-10 07:28:31','2022-11-25 13:53:25',9750622,1.984375,-2.0,3.984375,-0.023155580485019315,-0.0625,0.31527514340378315,0.5614936717397474,0.983396991461012,0.938484871266735,0.9130412170794409,3.3641280386132785e-06,0.14158080097286427,0.002613560475840342
act_accy | Sessions(200-300),act,accy,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.984375,-2.0,3.984375,0.030109391208283005,0.0,0.3211785038414041,0.5667261277207926,0.9761779875362105,0.9315080144364799,0.9089884117644758,7.636525301927767e-07,0.12773292413096907,0.01057736517755245
act_accy | Sessions(300-400),act,accy,500,446,54,89.2,4,'2022-10-10 06:27:14','2022-10-26 19:52:19',12461922,1.984375,-2.0,3.984375,0.04906144292991081,-0.015625,0.39481288594502006,0.6283413769162588,0.9808412282903174,0.9240252347624343,0.8947851930667051,4.7142384295428096e-07,0.11363399695975437,0.008462815981449143
act_accy | Sessions(400-500),act,accy,500,471,29,94.19999999999999,3,'2022-10-10 08:07:37','2022-10-26 19:02:14',13293548,1.984375,-2.0,3.984375,0.027721689452281664,-0.03125,0.28297241480017665,0.5319515154599869,0.9741121139591193,0.9199568261472382,0.8955886742170546,2.0709131035594663e-06,0.14183195674438276,0.00563650823281779
act_accy | Sessions(500-600),act,accy,500,451,49,90.2,2,'2022-10-10 09:03:23','2022-10-26 19:52:00',12605912,1.984375,-2.0,3.984375,-0.21654957535995809,-0.296875,0.2832153113713391,0.5321797735458753,0.949928431773692,0.8816416711976066,0.8451936101914025,-1.1516952474571089e-06,0.08394350502239192,0.020747516685552813
act_accz | NoCondition,act,accz,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.984375,-2.0,3.984375,0.3085822702603254,0.34375,0.24519352653753215,0.49517019956529307,0.9637745180428188,0.9078604533822492,0.8806434518336927,-2.4605394390399812e-06,0.10806079787511047,0.012839296823351947
act_accz | Sessions(0-100),act,accz,500,424,76,84.8,6,'2022-10-10 07:58:52','2023-03-22 21:17:37',11787895,1.984375,-2.0,3.984375,0.2960755411059396,0.34375,0.23310789196314927,0.4828124811592481,0.9406343829748016,0.8697907191061196,0.8327126938702735,-1.712166449024003e-06,0.10304642582502614,0.029702671403574084
act_accz | Sessions(100-200),act,accz,500,352,148,70.39999999999999,5,'2022-10-10 07:28:31','2022-11-25 13:53:25',9750622,1.984375,-2.0,3.984375,0.27304324149782444,0.28125,0.2853420158799957,0.5341741437770979,0.9572630177522877,0.9016699550737196,0.864706972377501,-3.757612681299311e-06,0.13615760736294555,0.026823174105706213
act_accz | Sessions(200-300),act,accz,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.984375,-2.0,3.984375,0.3085822702603254,0.34375,0.24519352653753215,0.49517019956529307,0.9637745180428188,0.9078604533822492,0.8806434518336927,-2.4605394390399812e-06,0.10806079787511047,0.012839296823351947
act_accz | Sessions(300-400),act,accz,500,446,54,89.2,4,'2022-10-10 06:27:14','2022-10-26 19:52:19',12461922,1.984375,-2.0,3.984375,0.19023631672746788,0.1875,0.2225328122684742,0.4717338362556519,0.9681291257364917,0.8907430852102253,0.8498606791603309,-1.2771749972356345e-06,0.1014025060062125,0.012888830268353574
